,country,region,city,station_name_current,stn_key,icao_xref,wmo_xref,wban,maslib,lat_prp,lon_prp,elev_prp,postal_code
33231,United States,AK,Fairbanks|Eielson Air Force Base,Eielson/AFB,USaaPAEI,PAEI,70265.0,26407.0,702650.0,64.66566667,-147.1015,166.7,US-99702
33247,United States,AK,Five Finger|Cape Fanshaw,Lighthouse,USs70385,,70385.0,25319.0,703850.0,57.26666667,-133.61666670000002,0.0,US-99830
33253,United States,AK,Fort Richardson,Bryant AHP,USaaPAFR,PAFR,70270.0,26461.0,702700.0,61.26250778,-149.65470359999998,118.0,US-99505
33255,United States,AK,Fort Yukon,Fort Yukon Airport | Fort Yukon Intermediate Field,USaaPFYU,PFYU,70194.0,26413.0,701940.0,66.57149028,-145.2504169,132.0,US-99740
33256,United States,AK,Fort Yukon,Fort Yukon Airport | Fort Yukon Intermediate Field,USaaPFYU,PFYU,70194.0,26413.0,701940.0,66.57149028,-145.2504169,136.2,US-99740
33263,United States,AK,Galena,Edward G Pitka Sr Airport | Galena Intermediate Field,USaaPAGA,PAGA,70222.0,26501.0,702220.0,64.73333333,-156.93333330000002,46.6,US-99741
33266,United States,AK,Gambell,,USaaPAGM,PAGM,70204.0,26703.0,702040.0,63.76676556,-171.73282360000002,8.8,US-99742
33273,United States,AK,Golovin,,USaaPAGL,PAGL,70199.0,26628.0,701990.0,64.55045528,-163.0071703,18.0,US-99762
33279,United States,AK,Gulkana|Glennallen,Gulkana Airport | Gulkana Intermediate Field,USaaPAGK,PAGK,70271.0,26425.0,702710.0,62.15494444,-145.4543333,483.4,US-99588
33281,United States,AK,Gustavus,,USaaPAGS,PAGS,70367.0,25322.0,703670.0,58.42527778,-135.70741669999998,10.7,US-99826
33303,United States,AK,Homer|Millers Landing,Homer Municipal Airport | Homer Intermediate Field (formerly),USaaPAHO,PAHO,70341.0,25507.0,703410.0,59.64555556,-151.47658330000002,25.6,US-99603
33311,United States,AK,Hughes,Airport,USaaPAHU,PAHU,70172.0,26522.0,701720.0,66.03908333,-154.26469440000002,91.1,US-99745
33318,United States,AK,Igiugig,,USaaPAIG,PAIG,70306.0,25521.0,703060.0,59.32404167,-155.9017728,27.4,US-99613
33319,United States,AK,Iliamna,Airport,USaaPAIL,PAIL,70340.0,25506.0,703400.0,59.75557811,-154.91775230000002,58.5,US-99606
33327,United States,AK,Juneau|Mendenhall Valley,Juneau Intl Airport | Juneau Intermediate Field (formerly),USaaPAJN,PAJN,70381.0,25309.0,703810.0,58.35497222,-134.5762778,7.6,US-99801
33349,United States,AK,Kenai,Kenai Municipal Airport | Kenai Intermediate Field (formerly),USaaPAEN,PAEN,70259.0,26523.0,702590.0,60.57330678,-151.2447778,30.2,US-99611
33353,United States,AK,Ketchikan|Carlanna,International Airport,USaaPAKT,PAKT,70395.0,25325.0,703950.0,55.354075,-131.7112194,28.0,US-99901
33365,United States,AK,Kivalina,,USaaPAVL,PAVL,70148.0,26642.0,701480.0,67.73615139,-164.56349609999998,4.0,US-99750
33378,United States,AK,Kodiak|Kodiakak [MISSPELLING]|Kodiak Station,Airport,USaaPADQ,PADQ,70350.0,25501.0,703500.0,57.74996778,-152.4938553,24.1,US-99615
